Name,Area in km2,Population,Avg Income
Almagro,4.1,"128,206",46150
Barracas,7.6,"73,377",41200
Belgrano,6.8,"126,816",87200
Boedo,2.6,"45,563",62450
Caballito,6.8,"170,309",65300
Flores,7.8,"142,695",34750
La Boca,3.1,"43,413",35000
La Paternal,2.2,"19,058",32750
Liniers,4.3,"42,083",36600
Mataderos,7.3,"62,206",35000
Nœ–ez,4.5,"49,019",85000
Palermo,15.9,"225,245",84000
Recoleta,5.9,"165,494",92000
Retiro,2.8,"38,635",30000
Saavedra,5.6,"48,956",67000
San Telmo,1.2,"23,198",52000
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,